mã ngành,mã mục,nội dung
XI,3,"3. Thông tin tuyển sinh
Công tác tuyển sinh cho chương trình Cử nhân ngành Vật lý Kỹ thuật được thực hiện theo đúng các Quy chế và Quy định về công tác tuyển sinh đại học được ban hành hàng năm của Bộ Giáo dục và Đào tạo. Quá trình này cũng tuân thủ chặt chẽ các hướng dẫn cụ thể của Đại học Quốc gia Hà Nội và nội dung chi tiết trong Đề án tuyển sinh được Trường Đại học Công nghệ xây dựng và công bố chính thức mỗi năm."
XI,4,"4. Chuẩn đầu ra của chương trình
Sau khi tốt nghiệp chương trình đào tạo Cử nhân ngành Vật lý Kỹ thuật, người học phải đạt được các yêu cầu năng lực tối thiểu một cách toàn diện. Về kiến thức (PLO1-9), sinh viên cần diễn giải được kiến thức cơ bản về khoa học xã hội, chính trị, pháp luật, văn hóa, thể chất và quốc phòng; vận dụng được kiến thức cơ bản của Toán học, khoa học cơ bản, và Công nghệ Thông tin để giải quyết các bài toán kỹ thuật; vận dụng được kiến thức cơ bản về quản lý điều hành hoạt động chuyên môn; vận dụng kiến thức sâu về các khái niệm vật lý để giải quyết các vấn đề liên quan. Sinh viên cũng phải vận dụng kiến thức trong các lĩnh vực liên quan như cơ, nhiệt, điện, từ, quang, điện tử, công nghệ vi điện tử, năng lượng, khoa học vật liệu, hóa học, đo lường, điều khiển tự động để tham gia nghiên cứu, phân tích và cải tiến các hệ thống/quy trình/sản phẩm kỹ thuật; phân tích và giải thích dữ liệu thu được theo các nguyên tắc vật lý sau khi thiết kế và tiến hành thí nghiệm hoặc dự án; phân tích được các hiện tượng trong vật lý và kỹ thuật bằng việc sử dụng chính xác các phương pháp toán, vật lý, hóa học, CNTT; đánh giá và đưa ra nhận định dựa trên kiến thức chuyên sâu về lĩnh vực chuyên ngành; và có trình độ tiếng Anh tương đương bậc 3 theo Khung năng lực ngoại ngữ 6 bậc. Về kỹ năng (PLO10-16), sinh viên phải có khả năng phát hiện, mô tả vấn đề và đề xuất giải pháp về lĩnh vực kỹ thuật Vật lý; thiết kế, thực thi/thí nghiệm giải pháp, phân tích dữ liệu và kết quả, đánh giá kỹ thuật để rút ra kết luận; có kỹ năng thực hành trong việc thiết kế, xây dựng và kiểm tra các thiết bị và hệ thống kỹ thuật; có khả năng phân tích vấn đề, tư duy logic và giải quyết vấn đề trong Vật lý Kỹ thuật; giao tiếp hiệu quả, lập kế hoạch, điều phối, quản lý nhóm làm việc hiệu quả; tư duy logic, biện chứng để giải quyết vấn đề thực tế hiệu quả và sáng tạo; và vận dụng các kiến thức, kỹ năng khởi nghiệp. Về mức độ tự chủ và trách nhiệm (PLO17-18), sinh viên cần chủ động tuân thủ pháp luật, đạo đức nghề nghiệp, thể hiện tính trung thực, chịu trách nhiệm cá nhân, tinh thần tự học, tự nghiên cứu, hỗ trợ đồng nghiệp; và thể hiện ý thức đóng góp tạo ra những sản phẩm có giá trị phục vụ cộng đồng và phát triển lĩnh vực chuyên môn."
XI,5,"5. Vị trí việc làm mà sinh viên có thể đảm nhiệm sau khi tốt nghiệp
Cử nhân tốt nghiệp ngành Vật lý Kỹ thuật có nhiều cơ hội nghề nghiệp trong các lĩnh vực công nghệ cao và nghiên cứu ứng dụng. Các vị trí tiêu biểu bao gồm cán bộ kỹ thuật tại các tập đoàn công nghiệp, công ty công nghệ trong và ngoài nước hoạt động trong các lĩnh vực liên quan đến vật liệu mới, vi điện tử – đo lường, y – sinh và môi trường. Sinh viên cũng có thể trở thành chuyên viên kiểm soát quy trình sản xuất và chất lượng sản phẩm tại các doanh nghiệp công nghệ; hoặc làm cán bộ nghiên cứu, chuyên viên triển khai, chuyển giao và ứng dụng công nghệ mới tại các trung tâm và phòng nghiên cứu phát triển (R&D). Ngoài ra, một hướng đi khác là tham gia vào công tác giảng dạy và nghiên cứu với vai trò giảng viên hoặc nghiên cứu viên tại các trường đại học và viện nghiên cứu có liên quan đến vật lý và kỹ thuật."
XI,6,"6. Khả năng học tập, nâng cao trình độ sau khi tốt nghiệp
Sau khi hoàn thành chương trình và nhận bằng Cử nhân ngành Vật lý Kỹ thuật, các tân cử nhân có nền tảng vững chắc để tiếp tục con đường học tập và nghiên cứu khoa học. Họ hoàn toàn có đủ điều kiện và năng lực để theo học các bậc học cao hơn như Thạc sĩ và Tiến sĩ, thuộc các lĩnh vực chuyên sâu về vật liệu và linh kiện micro-nano, vật lý chất rắn, khoa học vật liệu, và các ngành khoa học kỹ thuật liên quan khác tại các trường đại học và viện nghiên cứu uy tín ở cả trong nước và quốc tế."
XI,7,"7. Tóm tắt yêu cầu chương trình đào tạo (Khối lượng kiến thức)
Chương trình đào tạo Cử nhân ngành Vật lý Kỹ thuật có tổng cộng 135 tín chỉ chuyên môn, không bao gồm các học phần điều kiện tốt nghiệp quan trọng như Giáo dục thể chất, Giáo dục Quốc phòng – An ninh và Kỹ năng bổ trợ. Cấu trúc tín chỉ của chương trình được phân bổ thành các khối kiến thức chính: Khối kiến thức chung chiếm 26 tín chỉ, tập trung cung cấp nền tảng về lý luận chính trị, pháp luật, ngoại ngữ và tin học cơ bản; tiếp đó là Khối kiến thức theo lĩnh vực với 19 tín chỉ, củng cố kiến thức toán, lý và giới thiệu kỹ năng lập trình. Khối kiến thức theo khối ngành gồm 11 tín chỉ, và Khối kiến thức theo nhóm ngành với 12 tín chỉ, sẽ trang bị các kiến thức cơ sở và nền tảng đặc thù của ngành Vật lý Kỹ thuật. Phần kiến thức chuyên sâu và quan trọng nhất là Khối kiến thức ngành, với tổng cộng 67 tín chỉ; trong đó, khối này bao gồm 41 tín chỉ dành cho các học phần bắt buộc của ngành, 17 tín chỉ dành cho các học phần định hướng chuyên sâu (bao gồm 9 tín chỉ bắt buộc và 8 tín chỉ tự chọn theo các định hướng như Công nghệ quang tử, Công nghệ nano và ứng dụng, hoặc Vật lý tính toán), và 02 tín chỉ được dành cho các học phần bổ trợ. Cuối cùng, chương trình dành 07 tín chỉ cho Khóa luận tốt nghiệp hoặc các học phần thay thế tương đương."
XII,1,"1. Một số thông tin về chương trình đào tạo
Ngành đào tạo là Kỹ thuật năng lượng (tên tiếng Anh: Energy Engineering), một ngành đào tạo thí điểm với mã số là 7520406. Chương trình này có thời gian đào tạo chuẩn là 4,5 năm, và sinh viên sau khi hoàn thành sẽ được cấp danh hiệu Kỹ sư. Tên văn bằng tốt nghiệp chính thức bằng tiếng Việt là ""Kỹ sư ngành Kỹ thuật Năng lượng"" và bằng tiếng Anh là ""The Degree of Engineer in Energy Engineering""."
XII,2,"2. Mục tiêu của chương trình đào tạo
Chương trình đào tạo Kỹ sư ngành Kỹ thuật Năng lượng đặt mục tiêu chung là trang bị cho sinh viên các kiến thức và kỹ năng toàn diện về năng lượng, bao gồm năng lượng tái tạo, công nghệ năng lượng, kỹ thuật năng lượng, thiết bị năng lượng, quản lý năng lượng, ứng dụng biến đổi và tích trữ năng lượng, cũng như an toàn năng lượng. Kỹ sư tốt nghiệp được định hướng có khả năng đảm nhận các vị trí kỹ sư về quản lý năng lượng, quản lý kỹ thuật, quản lý sản xuất, thiết kế dây chuyền, chuyển giao công nghệ, và ứng dụng thiết bị công nghệ mới tại các tập đoàn công nghiệp, công ty kỹ thuật – sản xuất, cơ quan quản lý, viện nghiên cứu, trường đại học, hoặc có đủ năng lực để tiếp tục đào tạo ở bậc sau đại học trong và ngoài nước. Về mục tiêu cụ thể, chương trình hướng đến việc sinh viên có kiến thức đa ngành về khoa học cơ bản, khoa học vật liệu, vật lý và tin học áp dụng vào thực tiễn ngành Kỹ thuật Năng lượng (MT1); có kiến thức chuyên sâu về năng lượng, năng lượng tái tạo, công nghệ kỹ thuật năng lượng, và khả năng vận dụng kiến thức này trong các lĩnh vực biến đổi, tích trữ, quản lý và an toàn năng lượng (MT2). Bên cạnh đó, sinh viên sẽ có kỹ năng sử dụng thành thạo các công cụ định lượng và phần mềm chuyên dụng cho nghiên cứu, sản xuất, thiết kế, vận hành và quản lý hệ thống năng lượng (MT3); có năng lực tự học, tự nghiên cứu để nâng cao trình độ chuyên môn và thích nghi với các môi trường làm việc khác nhau (MT4); và cuối cùng là có phẩm chất chính trị, đạo đức, sức khỏe tốt, ý thức bảo vệ lợi ích tổ chức và quốc gia, cùng ý thức trách nhiệm đóng góp tích cực vào sự phát triển kinh tế và xã hội (MT5)."
XII,3,"3. Thông tin tuyển sinh
Công tác tuyển sinh cho chương trình Kỹ sư Kỹ thuật Năng lượng được thực hiện theo đúng các Quy chế và Quy định về công tác tuyển sinh đại học được ban hành hàng năm của Bộ Giáo dục và Đào tạo. Quá trình này cũng tuân thủ chặt chẽ các hướng dẫn cụ thể của Đại học Quốc gia Hà Nội và nội dung chi tiết trong Đề án tuyển sinh được Trường Đại học Công nghệ xây dựng và công bố chính thức mỗi năm."
XII,4,"4. Chuẩn đầu ra của chương trình
Sau khi tốt nghiệp chương trình đào tạo Kỹ sư Kỹ thuật Năng lượng, người học phải đạt được các yêu cầu năng lực tối thiểu một cách toàn diện. Về kiến thức (PLO1-10), sinh viên cần diễn giải được kiến thức cơ bản về khoa học xã hội, chính trị, pháp luật, văn hóa, thể chất và quốc phòng; vận dụng được kiến thức cơ bản của Toán học, khoa học cơ bản, và Công nghệ Thông tin để giải quyết các bài toán kỹ thuật; vận dụng được kiến thức cơ bản về quản lý điều hành hoạt động chuyên môn; vận dụng được kiến thức ngành trong xử lý và quản lý các công nghệ mới nhất trong các lĩnh vực năng lượng. Sinh viên cũng phải có khả năng tính toán việc thiết kế, quản lý và sử dụng các nguồn năng lượng tái tạo; vận dụng được kiến thức trong sản xuất và sử dụng hiệu quả các nguồn năng lượng thông thường và tái tạo để phát điện và các giải pháp lưu trữ năng lượng; vận dụng được kiến thức trong sản xuất, sử dụng, lưu trữ và quản lý năng lượng, thiết kế, nghiên cứu và phát triển, kiểm soát môi trường và hoạch định chính sách; phân tích các nguyên tắc mới và bền vững của công nghệ sản xuất, lưu trữ, truyền tải và phân phối các nguồn năng lượng tái tạo; đánh giá thực trạng, cơ hội, thách thức và giải pháp về các vấn đề năng lượng; và có trình độ tiếng Anh tương đương bậc 3 theo Khung năng lực ngoại ngữ 6 bậc. Về kỹ năng (PLO11-18), sinh viên phải có khả năng đề xuất giải pháp về lĩnh vực kỹ thuật Năng lượng; phân tích dữ liệu và kết quả đánh giá kỹ thuật của hệ thống năng lượng; xây dựng kế hoạch và quản lý tiết kiệm năng lượng, thiết kế và vận hành hệ thống cung cấp điện và năng lượng nhiệt; có năng lực phân tích vấn đề, tư duy logic và giải quyết vấn đề trong kỹ thuật năng lượng; thẩm định các quy trình công nghệ, hệ thống kỹ thuật; quản lý nhóm và làm việc nhóm hiệu quả; tư duy logic, biện chứng để giải quyết hiệu quả vấn đề thực tế; và vận dụng các kiến thức, kỹ năng khởi nghiệp. Về mức độ tự chủ và trách nhiệm (PLO19-21), sinh viên cần chủ động tuân thủ pháp luật, đạo đức nghề nghiệp, thể hiện tính trung thực, chịu trách nhiệm cá nhân, tinh thần tự học, tự nghiên cứu, hỗ trợ đồng nghiệp; thể hiện ý thức đóng góp tạo ra những sản phẩm có giá trị phục vụ cộng đồng và phát triển lĩnh vực chuyên môn; và có thể đưa ra các quyết định kỹ thuật được đánh giá về mặt đạo đức, chuẩn mực xã hội, bảo vệ môi trường và an toàn."
XII,5,"5. Vị trí việc làm mà sinh viên có thể đảm nhiệm sau khi tốt nghiệp
Kỹ sư tốt nghiệp ngành Kỹ thuật Năng lượng có nhiều cơ hội việc làm trong lĩnh vực năng lượng, một ngành đang phát triển nhanh chóng trên toàn cầu. Các vị trí tiềm năng bao gồm kỹ sư phát triển và triển khai các nguồn năng lượng tái tạo (năng lượng mặt trời, gió, nước, sinh học), tham gia vào thiết kế, xây dựng và vận hành các hệ thống này. Sinh viên cũng có thể làm kỹ sư quản lý năng lượng, tối ưu hóa việc sử dụng năng lượng trong các công trình và hệ thống công nghiệp; hoặc kỹ sư vận hành hệ thống truyền tải và phân phối năng lượng, đảm bảo việc cung cấp năng lượng hiệu quả và ổn định. Các vị trí khác bao gồm quản lý dự án năng lượng, chuyên viên nghiên cứu và phát triển công nghệ năng lượng mới, giảng viên tại các cơ sở giáo dục, hoặc chuyên viên tư vấn về tiết kiệm năng lượng và giải pháp năng lượng tái tạo cho các doanh nghiệp và tổ chức."
XII,6,"6. Khả năng học tập, nâng cao trình độ sau khi tốt nghiệp
Sau khi hoàn thành chương trình và nhận bằng Kỹ sư Kỹ thuật Năng lượng, các tân kỹ sư có nền tảng vững chắc để tiếp tục con đường học tập và nâng cao trình độ chuyên môn. Họ hoàn toàn có đủ điều kiện và năng lực để theo học các bậc học cao hơn như Thạc sĩ và Tiến sĩ, thuộc các chuyên ngành về năng lượng tái tạo, năng lượng truyền thống, vật liệu và linh kiện năng lượng, khoa học vật liệu, vật lý ứng dụng và các lĩnh vực liên quan khác tại các trường đại học và viện nghiên cứu uy tín ở cả trong nước và quốc tế."
XII,7,"7. Tóm tắt yêu cầu chương trình đào tạo (Khối lượng kiến thức)
Chương trình đào tạo Kỹ sư Kỹ thuật Năng lượng có tổng cộng 150 tín chỉ chuyên môn, không bao gồm các học phần điều kiện tốt nghiệp quan trọng như Giáo dục thể chất, Giáo dục Quốc phòng – An ninh và Kỹ năng bổ trợ. Cấu trúc tín chỉ của chương trình được phân bổ thành các khối kiến thức chính: Khối kiến thức chung chiếm 21 tín chỉ, tập trung cung cấp nền tảng về lý luận chính trị, pháp luật, ngoại ngữ và tin học cơ bản; tiếp đó là Khối kiến thức theo lĩnh vực với 19 tín chỉ, củng cố kiến thức toán, lý và giới thiệu kỹ năng lập trình. Khối kiến thức theo khối ngành và nhóm ngành gồm 38 tín chỉ, bao gồm các môn học cơ sở ngành kỹ thuật và các môn nền tảng về năng lượng, hóa học, vật liệu. Phần kiến thức chuyên sâu và quan trọng nhất là Khối kiến thức ngành, với tổng cộng 72 tín chỉ; trong đó, khối này bao gồm 48 tín chỉ dành cho các học phần bắt buộc (cả cơ sở ngành và chuyên ngành sâu về kỹ thuật và hệ thống năng lượng), 06 tín chỉ dành cho các học phần tự chọn theo các định hướng chuyên ngành như Năng lượng mặt trời, Biến đổi và tích trữ các nguồn năng lượng mới, hoặc Quản lý và An toàn năng lượng, và 08 tín chỉ được dành cho các học phần bổ trợ. Cuối cùng, chương trình dành 10 tín chỉ cho Đồ án tốt nghiệp, đánh dấu mốc quan trọng hoàn thành chương trình đào tạo."
XIV,1,"1. Một số thông tin về chương trình đào tạo
Ngành đào tạo là Công nghệ Hàng không Vũ trụ (tên tiếng Anh: Aerospace Engineering), một ngành đào tạo thí điểm với mã số là 7519001. Chương trình này được giảng dạy bằng tiếng Việt, có thời gian đào tạo chuẩn là 4,5 năm, và sinh viên sau khi hoàn thành sẽ được cấp danh hiệu Kỹ sư. Tên văn bằng tốt nghiệp chính thức bằng tiếng Việt là ""Kỹ sư ngành Công nghệ Hàng không Vũ trụ"" và bằng tiếng Anh là ""The Degree of Engineer in Aerospace Engineering""."
XIV,2,"2. Mục tiêu của chương trình đào tạo
Chương trình Công nghệ Hàng không Vũ trụ đặt mục tiêu chung là đào tạo ra những kỹ sư có kiến thức tổng quát và chuyên sâu, bao quát các lĩnh vực công nghệ kỹ thuật trọng yếu như Cơ khí, Điện tử, Công nghệ thông tin và Điều khiển. Sinh viên tốt nghiệp được kỳ vọng sẽ có năng lực áp dụng những kiến thức này để thiết kế, chế tạo các thiết bị bay; cũng như khai thác và phát triển các công nghệ tiên tiến trong lĩnh vực Hàng không Vũ trụ. Về mục tiêu cụ thể, chương trình hướng đến việc sinh viên sau khi tốt nghiệp một số năm có khả năng vận dụng kiến thức sâu rộng về các nguyên tắc cơ bản và kỹ thuật của Cơ khí, Điện tử, Công nghệ thông tin, Điều khiển để thiết kế, chế tạo và cung cấp các sản phẩm đáp ứng nhu cầu xã hội trong ngành Hàng không Vũ trụ và các ngành liên quan (A1). Sinh viên sẽ có khả năng thiết kế, chế tạo các thiết bị bay, vệ tinh, tham gia nghiên cứu kỹ thuật thăm dò không gian, các công cụ và thiết bị viễn thông, viễn thám, cùng các dịch vụ và kỹ thuật liên quan khác (A2). Đồng thời, chương trình cũng bồi dưỡng ý thức phục vụ cộng đồng, ý thức về trách nhiệm xã hội, và định hướng phát triển nghề nghiệp vững chắc trong ngành Công nghệ Hàng không Vũ trụ hoặc các ngành nghề có liên quan (A3)."
XIV,3,"3. Thông tin tuyển sinh
Công tác tuyển sinh cho chương trình Kỹ sư Công nghệ Hàng không Vũ trụ được thực hiện theo đúng các Quy chế và Quy định về công tác tuyển sinh đại học được ban hành hàng năm của Bộ Giáo dục và Đào tạo. Quá trình này cũng tuân thủ chặt chẽ các hướng dẫn cụ thể của Đại học Quốc gia Hà Nội và nội dung chi tiết trong Đề án tuyển sinh được Trường Đại học Công nghệ xây dựng và công bố chính thức mỗi năm."
XIV,4,"4. Chuẩn đầu ra của chương trình
Sau khi tốt nghiệp chương trình đào tạo Kỹ sư Công nghệ Hàng không Vũ trụ, người học phải đạt được các yêu cầu năng lực tối thiểu một cách toàn diện. Về kiến thức (PLO1-9), sinh viên cần diễn giải được kiến thức cơ bản về khoa học xã hội, chính trị, pháp luật, văn hóa, thể chất và quốc phòng; vận dụng được kiến thức cơ bản của Toán học, khoa học cơ bản, Công nghệ Thông tin và lập trình để giải quyết các bài toán kỹ thuật; hiểu biết kiến thức chung về kỹ thuật điện và điện tử để xây dựng hệ thống điện, điện tử trong thiết bị bay; vận dụng kiến thức khoa học về vật liệu trong chế tạo và áp dụng nguyên lý cơ học cho ngành; hiểu biết về động cơ, thiết bị bay và hệ thống truyền động thủy khí; vận dụng kiến thức chuyên môn về khí động lực học. Ngoài ra, tùy theo định hướng (Công nghệ thông tin và Điện tử Hàng không; Động lực học, Điều khiển và Cơ khí Hàng không; hoặc Vệ tinh và Khoa học dữ liệu không gian), sinh viên sẽ vận dụng được các kiến thức chuyên sâu tương ứng. Về kỹ năng (PLO10-14), sinh viên phải vận dụng được kiến thức tiếng Anh tương đương trình độ 3/6; phát hiện, mô tả vấn đề và đề xuất giải pháp về ngành; làm được thí nghiệm về mô hình thiết bị bay, phân tích dữ liệu và đánh giá kỹ thuật; giao tiếp hiệu quả, lập kế hoạch, điều phối, quản lý nhóm; và thể hiện tư duy logic, biện chứng để giải quyết vấn đề thực tế. Về mức độ tự chủ và chịu trách nhiệm (PLO15-17), sinh viên cần chủ động tuân thủ pháp luật, đạo đức nghề nghiệp, thể hiện tính trung thực, chịu trách nhiệm cá nhân, tinh thần tự học, tự nghiên cứu, hỗ trợ đồng nghiệp; thể hiện ý thức đóng góp, tạo ra sản phẩm giá trị; và có khả năng làm việc độc lập hoặc theo nhóm, tự định hướng, đưa ra kết luận chuyên môn và bảo vệ quan điểm."
XIV,5,"5. Vị trí việc làm mà học viên có thể đảm nhiệm sau khi tốt nghiệp
Kỹ sư tốt nghiệp ngành Công nghệ Hàng không Vũ trụ có khả năng tham mưu, tư vấn và thực hiện các nhiệm vụ chuyên môn, đáp ứng các yêu cầu cao về nghiên cứu và ứng dụng của xã hội trong lĩnh vực này. Họ được trang bị khả năng làm việc độc lập, tự học, tự nghiên cứu, nâng cao trình độ và thích nghi tốt với sự phát triển nhanh chóng của ngành. Các vị trí công tác mà sinh viên có thể đảm nhận bao gồm kỹ sư thiết kế, chế tạo các thiết bị bay và vệ tinh; kỹ sư vận hành, bảo dưỡng thiết bị bay; kỹ sư thiết kế, lập trình các hệ thống điều khiển và hệ thống nhúng; cũng như kỹ sư xây dựng hệ thống giám sát không gian và xử lý ảnh viễn thám."
XIV,6,"6. Khả năng học tập, nâng cao trình độ sau khi tốt nghiệp
Sau khi hoàn thành chương trình và nhận bằng Kỹ sư Công nghệ Hàng không Vũ trụ, các tân kỹ sư có nền tảng vững chắc để tiếp tục con đường học tập và nâng cao trình độ chuyên môn. Họ hoàn toàn có đủ điều kiện và năng lực để theo học các chương trình đào tạo Thạc sĩ, Tiến sĩ thuộc các ngành học về công nghệ kỹ thuật như Công nghệ Hàng không Vũ trụ, Công nghệ thông tin, Điện tử viễn thông, Cơ kỹ thuật, Cơ điện tử, và các lĩnh vực liên quan khác tại các cơ sở đào tạo uy tín trong nước và quốc tế."
XIV,7,"7. Tóm tắt yêu cầu chương trình đào tạo (Khối lượng kiến thức)
Chương trình đào tạo Kỹ sư Công nghệ Hàng không Vũ trụ có tổng cộng 152 tín chỉ chuyên môn, không bao gồm các học phần điều kiện tốt nghiệp quan trọng như Giáo dục thể chất, Giáo dục Quốc phòng – An ninh và Kỹ năng bổ trợ. Cấu trúc tín chỉ của chương trình được phân bổ thành các khối kiến thức chính: Khối kiến thức chung chiếm 21 tín chỉ, tập trung cung cấp nền tảng về lý luận chính trị, pháp luật, ngoại ngữ và tin học cơ bản; tiếp đó là Khối kiến thức chung theo lĩnh vực với 19 tín chỉ, củng cố kiến thức toán, lý và giới thiệu kỹ năng lập trình. Khối kiến thức chung theo khối ngành gồm 10 tín chỉ, và Khối kiến thức theo nhóm ngành với 29 tín chỉ sẽ trang bị các kiến thức cốt lõi và nền tảng đặc thù của ngành Công nghệ Hàng không Vũ trụ. Phần kiến thức chuyên sâu và quan trọng nhất là Khối kiến thức ngành, với tổng cộng 73 tín chỉ; trong đó, khối này bao gồm 26 tín chỉ dành cho các học phần bắt buộc của ngành, 24 tín chỉ dành cho các học phần tự chọn theo các định hướng chuyên sâu như Công nghệ thông tin và Điện tử Hàng không, Động lực học, Điều khiển và Cơ khí Hàng không, hoặc Vệ tinh và Khoa học dữ liệu không gian, và 05 tín chỉ được dành cho các học phần bổ trợ. Cuối cùng, chương trình dành 18 tín chỉ cho khối kiến thức thực tập và tốt nghiệp, bao gồm dự án thực tế, thực tập tốt nghiệp và hoàn thành Đồ án tốt nghiệp hoặc các học phần thay thế tương đương."
XV,1,"1. Một số thông tin về chương trình đào tạo
Ngành đào tạo là Công nghệ nông nghiệp (tên tiếng Anh: Agricultural Technology), một chương trình đào tạo thí điểm với mã số là 7519002. Chương trình này có thời gian đào tạo chuẩn là 4,5 năm, và sinh viên sau khi hoàn thành sẽ được cấp danh hiệu Kỹ sư. Tên văn bằng tốt nghiệp chính thức bằng tiếng Việt là ""Kỹ sư ngành Công nghệ nông nghiệp"" và bằng tiếng Anh là ""The Degree of Engineer in Agricultural Technology""."
XV,2,"2. Mục tiêu của chương trình đào tạo
Chương trình đào tạo Kỹ sư Công nghệ nông nghiệp đặt mục tiêu chung là đào tạo ra những kỹ sư chất lượng cao, sở hữu kiến thức và kỹ năng toàn diện về nông nghiệp và các công nghệ hiện đại liên quan (như công nghệ thông tin, công nghệ tự động hóa, công nghệ sinh học, công nghệ nano). Sinh viên tốt nghiệp được kỳ vọng sẽ có phẩm chất chính trị, đạo đức nghề nghiệp vững vàng, cùng năng lực phát triển công nghệ và hoàn thiện các quy trình công nghệ trong sản xuất nông nghiệp, qua đó góp phần tăng cường hiệu quả và tính bền vững, đồng thời tạo ra các sản phẩm nông nghiệp có giá trị cao và an toàn cho người tiêu dùng. Về mục tiêu cụ thể, chương trình hướng đến việc đào tạo kỹ sư công nghệ nông nghiệp có phẩm chất chính trị, đạo đức nghề nghiệp; có kiến thức và kỹ năng về nông nghiệp và công nghệ để lựa chọn công nghệ phù hợp nhằm tăng hiệu quả và tính bền vững của sản xuất nông nghiệp. Đồng thời, sinh viên sẽ có khả năng phát triển công nghệ và hoàn thiện quy trình công nghệ sản xuất để tạo ra sản phẩm nông nghiệp giá trị cao, an toàn, tối ưu hóa lợi ích các bên liên quan. Kỹ sư tốt nghiệp có thể làm việc tại các doanh nghiệp, cơ quan nhà nước, tổ chức quốc tế về nông nghiệp, nông nghiệp công nghệ cao, công nghệ hoặc tự khởi nghiệp."
XV,3,"3. Thông tin tuyển sinh
Công tác tuyển sinh cho chương trình Kỹ sư Công nghệ nông nghiệp được thực hiện theo đúng các Quy chế và Quy định về công tác tuyển sinh đại học được ban hành hàng năm của Bộ Giáo dục và Đào tạo. Quá trình này cũng tuân thủ chặt chẽ các hướng dẫn cụ thể của Đại học Quốc gia Hà Nội và nội dung chi tiết trong Đề án tuyển sinh được Trường Đại học Công nghệ xây dựng và công bố chính thức mỗi năm."
XV,4,"4. Chuẩn đầu ra của chương trình
Sau khi tốt nghiệp chương trình đào tạo Kỹ sư Công nghệ nông nghiệp, người học phải đạt được các yêu cầu năng lực tối thiểu một cách toàn diện. Về kiến thức (PLO1-6), sinh viên cần diễn giải được kiến thức cơ bản về khoa học xã hội, chính trị, pháp luật, văn hóa, kiến thức quốc phòng – an ninh; vận dụng được kiến thức cơ bản về khoa học tự nhiên và Công nghệ Thông tin để giải quyết các vấn đề liên quan đến lĩnh vực công nghệ nông nghiệp; giải thích được các yếu tố ảnh hưởng đến các đối tượng nông nghiệp trong các điều kiện sản xuất khác nhau; lựa chọn được các phương pháp, quy trình công nghệ và công nghệ tiên tiến để tăng hiệu quả sản xuất nông nghiệp, tạo ra sản phẩm giá trị cao, an toàn; phân tích được các yếu tố thực tiễn về công nghệ, kinh tế, xã hội, môi trường và dữ liệu nhằm quản lý và sản xuất nông nghiệp bền vững; và cải tiến được công nghệ hoặc quy trình sản xuất trong lĩnh vực nông nghiệp. Về kỹ năng (PLO7-10), sinh viên phải có khả năng giao tiếp hiệu quả bằng lời nói, văn bản, đa phương tiện, đạt chuẩn tiếng Anh bậc 3; vận dụng tư duy phân tích, phản biện và sáng tạo trong thực hiện nhiệm vụ và giải quyết vấn đề; thực hành chính xác các công nghệ tiên tiến và kỹ thuật sản xuất nông nghiệp công nghệ cao; và điều chỉnh các quy trình công nghệ sản xuất để đáp ứng nhu cầu xã hội. Về mức tự chủ và trách nhiệm (PLO11-13), sinh viên cần tuân thủ pháp luật, giữ gìn đạo đức nghề nghiệp, có trách nhiệm trong sản xuất nông nghiệp an toàn, bền vững; làm việc độc lập, làm việc nhóm, bảo vệ quan điểm chuyên môn, thích ứng tốt với môi trường làm việc đa dạng; và lập kế hoạch, quản lý, đánh giá và cải thiện hiệu quả công việc."
XV,5,"5. Vị trí việc làm mà sinh viên có thể đảm nhiệm sau khi tốt nghiệp
Kỹ sư tốt nghiệp ngành Công nghệ nông nghiệp có nhiều cơ hội nghề nghiệp đa dạng. Nhóm 1 bao gồm các vị trí cán bộ kỹ thuật phát triển phần mềm và thiết kế, lắp đặt, vận hành hệ thống tự động hoá nông nghiệp, cũng như chuyển giao công nghệ tại các trang trại, doanh nghiệp sản xuất và kinh doanh thiết bị nông nghiệp công nghệ cao. Nhóm 2 tập trung vào các vị trí cán bộ kỹ thuật trong việc chọn tạo và nhân giống cây trồng, vật nuôi, tạo các chế phẩm sinh học nông nghiệp công nghệ mới, bảo quản và chế biến nông sản, cũng như kiểm định chất lượng nông sản. Nhóm 3 hướng đến vai trò cán bộ quản lý dự án, quản lý sản xuất nông nghiệp công nghệ cao, hoặc cán bộ quản lý, đào tạo và tư vấn về nông nghiệp công nghệ cao tại các sở, bộ, ban ngành, đồng thời có thể khởi nghiệp đổi mới sáng tạo trong lĩnh vực. Nhóm 4 dành cho những người yêu thích nghiên cứu và giảng dạy, với các vị trí nghiên cứu viên và giảng viên về lĩnh vực công nghệ và Công nghệ nông nghiệp tại các cơ sở giáo dục và nghiên cứu. Nhóm 5 bao gồm các vị trí khác có liên quan đến công nghệ thông tin, sinh học và nông nghiệp."
